utbot_key,utbot_atr,total_return,total_pnl,total_trades,win_rate,profit_factor,max_drawdown,avg_win,avg_loss
1.0,10,24.258,24258.0,16,56.25,4.16608187134503,9.03011346533876,3562.0,-1099.285714285714
1.0,14,24.119,24119.0,16,56.25,4.14801819363223,9.041077941080125,3546.5555555555557,-1099.285714285714
1.0,12,24.119,24119.0,16,56.25,4.14801819363223,9.041077941080125,3546.5555555555557,-1099.285714285714
1.0,16,24.0785,24078.5,16,56.25,4.142755035737493,9.04427763747739,3542.0555555555557,-1099.285714285714
1.0,8,16.787,16787.0,16,50.0,2.6890310968903113,9.03011346533876,3361.625,-1250.1249999999998
2.5,10,13.036,13036.0,11,36.36363636363637,2.506090553895655,10.40948275862069,5451.999999999999,-1243.1428571428573
2.5,8,8.505500000000001,8505.5,11,27.27272727272727,1.79816641846612,10.40948275862069,6439.833333333332,-1343.0000000000002
1.5,16,10.6625,10662.5,14,35.714285714285715,1.7939570574780492,9.946211932836896,4862.7,-1505.888888888889
1.5,8,9.669,9669.0,15,33.33333333333333,1.6058014131647453,12.200676281830102,5181.6,-1613.4
2.5,16,5.4205000000000005,5420.5,11,27.27272727272727,1.5282628565930632,10.426086701758841,5294.666666666666,-1299.1874999999998
2.5,14,5.4205000000000005,5420.5,11,27.27272727272727,1.5282628565930632,10.426086701758841,5294.666666666666,-1299.1874999999998
2.5,12,5.1315,5131.5,11,27.27272727272727,1.486917856307044,10.426086701758841,5294.666666666666,-1335.3125
1.5,14,8.198,8198.0,15,26.666666666666668,1.486908077994429,12.200676281830102,6338.875,-1550.2272727272727
2.0,14,5.5435,5543.5,12,33.33333333333333,1.4819912528942627,12.718126720269007,4320.374999999999,-1457.625
2.0,12,5.5435,5543.5,12,33.33333333333333,1.4819912528942627,12.718126720269007,4320.374999999999,-1457.625
2.0,10,5.2620000000000005,5262.0,12,33.33333333333333,1.4470588235294115,12.718126720269007,4320.374999999999,-1492.8125
2.0,8,5.2620000000000005,5262.0,12,33.33333333333333,1.4470588235294115,12.718126720269007,4320.374999999999,-1492.8125
1.5,10,6.951499999999999,6951.5,16,31.25,1.374830852503383,12.200676281830102,5181.6,-1713.1363636363637
1.5,12,6.5125,6512.5,16,31.25,1.3515349306163602,12.200676281830102,5093.8,-1713.1363636363637
0.5,16,5.624,5624.0,19,42.10526315789473,1.3117545001084363,16.253484449959366,3024.25,-1676.7272727272727
0.5,14,4.335,4335.0,19,42.10526315789473,1.241867273910215,16.253484449959366,2863.1250000000005,-1676.7272727272727
2.0,16,3.1495,3149.5,13,30.76923076923077,1.230175113895216,12.718126720269007,4320.374999999999,-1560.8888888888891
0.5,12,3.1595,3159.5,19,36.84210526315789,1.1705424344666495,16.253484449959366,3221.5000000000005,-1605.4166666666667
0.5,8,3.1595,3159.5,19,36.84210526315789,1.1705424344666495,16.253484449959366,3221.5000000000005,-1605.4166666666667
0.5,10,3.1595,3159.5,19,36.84210526315789,1.1705424344666495,16.253484449959366,3221.5000000000005,-1605.4166666666667
