entry_time,exit_time,type,strike,entry_premium,exit_premium,entry_spot,exit_spot,qty,pnl,exit_reason,duration
1970-01-01 00:00:01.765876500,1970-01-01 00:00:01.765878300,CE,25900,163.55,151.53,25876.2,25851.25,50,-608.0000000000005,TSL Hit,1.6666666666666667e-08
1970-01-01 00:00:01.765943100,1970-01-01 00:00:01.765944720,CE,25900,167.21,165.54,25883.55,25880.2,50,-90.5000000000008,Profit Lock Hit,1.6666666666666667e-08
1970-01-01 00:00:01.765944720,1970-01-01 00:00:01.765950300,PE,25900,171.5,187.19,25880.2,25849.85,50,777.4999999999999,TSL Hit,8.333333333333334e-08
1970-01-01 00:00:01.765950480,1970-01-01 00:00:01.765952280,PE,25850,170.21,161.72,25832.15,25849.4,50,-431.50000000000045,TSL Hit,1.6666666666666667e-08
1970-01-01 00:00:01.765952460,1970-01-01 00:00:01.765963800,PE,25850,171.07,175.45,25830.45,25821.8,50,211.99999999999977,TSL Hit,1.8333333333333333e-07
1970-01-01 00:00:01.766029500,1970-01-01 00:00:01.766032740,PE,25800,169.73,169.78,25782.5,25782.4,50,-4.499999999999432,TSL Hit,5.0000000000000004e-08
1970-01-01 00:00:01.766035620,1970-01-01 00:00:01.766044800,CE,25850,175.26,178.27,25850.05,25855.85,50,143.50000000000097,TSL Hit,1.5e-07
1970-01-01 00:00:01.766045340,1970-01-01 00:00:01.766048400,PE,25850,161.07,173.26,25850.75,25826.1,50,602.4999999999999,TSL Hit,5.0000000000000004e-08
1970-01-01 00:00:01.766048580,1970-01-01 00:00:01.766049840,PE,25800,158.81,160.8,25804.8,25800.65,50,92.50000000000045,Profit Lock Hit,1.6666666666666667e-08
1970-01-01 00:00:01.766050020,1970-01-01 00:00:01.766050380,PE,25800,167.96,149.44,25786.05,25824.75,50,-933.0000000000005,TSL Hit,0.0
1970-01-01 00:00:01.766118420,1970-01-01 00:00:01.766123820,CE,25950,180.52,166.55,25958.85,25931.55,50,-705.5,TSL Hit,8.333333333333334e-08
1970-01-01 00:00:01.766125800,1970-01-01 00:00:01.766138220,CE,25950,171.48,181.86,25941.35,25961.4,50,512.0000000000011,Backtest End,2.0000000000000002e-07
