timestamp,equity,cash,drawdown
1970-01-01 00:00:01.765873800,100000.0,100000.0,0.0
1970-01-01 00:00:01.765873980,100000.0,100000.0,0.0
1970-01-01 00:00:01.765874160,100000.0,100000.0,0.0
1970-01-01 00:00:01.765874340,100000.0,100000.0,0.0
1970-01-01 00:00:01.765874520,100000.0,100000.0,0.0
1970-01-01 00:00:01.765874700,100000.0,100000.0,0.0
1970-01-01 00:00:01.765874880,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875060,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875240,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875420,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875600,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875780,100000.0,100000.0,0.0
1970-01-01 00:00:01.765875960,100000.0,100000.0,0.0
1970-01-01 00:00:01.765876140,100000.0,100000.0,0.0
1970-01-01 00:00:01.765876320,100000.0,100000.0,0.0
1970-01-01 00:00:01.765876500,99993.0,91815.5,0.006999999999999999
1970-01-01 00:00:01.765876680,99898.5,91815.5,0.1015
1970-01-01 00:00:01.765876860,100082.5,91815.5,0.0
1970-01-01 00:00:01.765877040,100338.5,91815.5,0.0
1970-01-01 00:00:01.765877220,100182.0,91815.5,0.15597203466266688
1970-01-01 00:00:01.765877400,99877.5,91815.5,0.4594447794216577
1970-01-01 00:00:01.765877580,99709.0,91815.5,0.6273763311191617
1970-01-01 00:00:01.765877760,99871.5,91815.5,0.46542453793907623
1970-01-01 00:00:01.765877940,99565.0,91815.5,0.7708905355372065
1970-01-01 00:00:01.765878120,99505.5,91815.5,0.830189807501607
1970-01-01 00:00:01.765878300,99385.0,99385.0,0.9502832910597627
1970-01-01 00:00:01.765878480,99385.0,99385.0,0.9502832910597627
1970-01-01 00:00:01.765878660,99385.0,99385.0,0.9502832910597627
1970-01-01 00:00:01.765878840,99385.0,99385.0,0.9502832910597627
1970-01-01 00:00:01.765879020,99385.0,99385.0,0.9502832910597627
1970-01-01 00:00:01.765943100,99378.0,91017.5,0.957259675996751
1970-01-01 00:00:01.765943280,99386.5,91017.5,0.9487883514304081
1970-01-01 00:00:01.765943460,100055.5,91017.5,0.28204527673824104
1970-01-01 00:00:01.765943640,100175.5,91017.5,0.16245010638987029
1970-01-01 00:00:01.765943820,99887.0,91017.5,0.44997682843574505
1970-01-01 00:00:01.765944000,100047.5,91017.5,0.2900182880947991
1970-01-01 00:00:01.765944180,100484.5,91017.5,0.0
1970-01-01 00:00:01.765944360,100271.0,91017.5,0.2124705800397076
1970-01-01 00:00:01.765944540,100140.0,91017.5,0.34283894530997316
1970-01-01 00:00:01.765944720,99280.5,90705.5,1.198194746453433
1970-01-01 00:00:01.765944900,99389.0,90705.5,1.0902178943021061
1970-01-01 00:00:01.765945080,99753.5,90705.5,0.7274753817752987
1970-01-01 00:00:01.765945260,99973.5,90705.5,0.5085361423901199
1970-01-01 00:00:01.765945440,99488.5,90705.5,0.991197647398355
1970-01-01 00:00:01.765945620,99584.0,90705.5,0.8961581139379705
1970-01-01 00:00:01.765945800,99732.5,90705.5,0.7483741273529748
1970-01-01 00:00:01.765945980,100203.5,90705.5,0.27964511939652387
1970-01-01 00:00:01.765946160,100521.5,90705.5,0.0
1970-01-01 00:00:01.765946340,100575.0,90705.5,0.0
1970-01-01 00:00:01.765946520,100324.5,90705.5,0.24906785980611484
1970-01-01 00:00:01.765946700,100495.5,90705.5,0.0790454884414616
1970-01-01 00:00:01.765946880,100211.5,90705.5,0.36142182450907284
1970-01-01 00:00:01.765947060,100624.5,90705.5,0.0
1970-01-01 00:00:01.765947240,100645.0,90705.5,0.0
1970-01-01 00:00:01.765947420,101057.0,90705.5,0.0
1970-01-01 00:00:01.765947600,101010.0,90705.5,0.046508406147025935
1970-01-01 00:00:01.765947780,101034.0,90705.5,0.02275943279535312
1970-01-01 00:00:01.765947960,101098.0,90705.5,0.0
1970-01-01 00:00:01.765948140,101038.5,90705.5,0.05885378543591367
1970-01-01 00:00:01.765948320,100889.5,90705.5,0.2062355338384538
1970-01-01 00:00:01.765948500,100650.5,90705.5,0.4426398148331322
1970-01-01 00:00:01.765948680,100602.5,90705.5,0.4901184988822726
1970-01-01 00:00:01.765948860,100782.0,90705.5,0.31256800332350787
1970-01-01 00:00:01.765949040,101278.5,90705.5,0.0
1970-01-01 00:00:01.765949220,100879.5,90705.5,0.39396318073431186
1970-01-01 00:00:01.765949400,100612.0,90705.5,0.6580863658130798
1970-01-01 00:00:01.765949580,100740.5,90705.5,0.5312084993359893
1970-01-01 00:00:01.765949760,100508.0,90705.5,0.7607735106661335
1970-01-01 00:00:01.765949940,100561.5,90705.5,0.70794887365038
1970-01-01 00:00:01.765950120,100273.5,90705.5,0.9923132747819132
1970-01-01 00:00:01.765950300,100058.0,100058.0,1.2050928874341542
