utbot_key,utbot_atr,total_return,total_pnl,total_trades,win_rate,profit_factor,max_drawdown,avg_win,avg_loss
1.5,16,5.748,5748.0,15,53.333333333333336,2.352825609615164,3.238659774506499,1272.4375000000002,-618.0714285714283
1.5,14,5.748,5748.0,15,53.333333333333336,2.352825609615164,3.238659774506499,1272.4375000000002,-618.0714285714283
1.5,12,5.689,5689.0,15,53.333333333333336,2.3391887206749113,3.238659774506499,1265.0625,-618.0714285714283
0.5,10,5.506,5506.0,19,63.1578947368421,2.1898172599556336,3.127865609801766,863.7916666666664,-676.214285714286
0.5,16,5.506,5506.0,19,63.1578947368421,2.1898172599556336,3.127865609801766,863.7916666666664,-676.214285714286
0.5,14,5.506,5506.0,19,63.1578947368421,2.1898172599556336,3.127865609801766,863.7916666666664,-676.214285714286
0.5,12,5.506,5506.0,19,63.1578947368421,2.1898172599556336,3.127865609801766,863.7916666666664,-676.214285714286
0.5,8,5.506,5506.0,19,63.1578947368421,2.1898172599556336,3.127865609801766,863.7916666666664,-676.214285714286
1.5,8,5.0955,5095.5,15,46.666666666666664,2.0287833827893182,3.9940192505373333,1465.0714285714291,-631.875
1.5,10,5.0955,5095.5,15,46.666666666666664,2.0287833827893182,3.9940192505373333,1465.0714285714291,-631.875
2.5,8,1.52,1520.0,13,38.46153846153847,1.38866103739445,3.992445666532933,1151.1999999999998,-518.1250000000003
2.5,10,1.52,1520.0,13,38.46153846153847,1.38866103739445,3.992445666532933,1151.1999999999998,-518.1250000000003
2.5,14,1.2735,1273.5,13,38.46153846153847,1.3431409530994576,3.992445666532933,1068.1999999999994,-497.06250000000034
2.5,16,1.2735,1273.5,13,38.46153846153847,1.3431409530994576,3.992445666532933,1068.1999999999994,-497.06250000000034
1.0,10,2.018,2018.0,18,50.0,1.3058487874465041,5.803191077375882,1017.1111111111105,-778.888888888889
2.5,12,1.105,1105.0,13,38.46153846153847,1.2885404101326883,3.992445666532933,1068.1999999999994,-518.1250000000003
1.0,8,0.8245,824.5,19,47.368421052631575,1.1168181540901596,5.803191077375882,1017.1111111111105,-819.6500000000002
1.0,12,0.8245,824.5,19,47.368421052631575,1.1168181540901596,5.803191077375882,1017.1111111111105,-819.6500000000002
1.0,14,-0.13949999999999999,-139.5,20,45.0,1.0000546239143489,5.803191077375882,1017.1111111111105,-832.1363636363639
1.0,16,-0.13949999999999999,-139.5,20,45.0,1.0000546239143489,5.803191077375882,1017.1111111111105,-832.1363636363639
2.0,8,-1.616,-1616.0,16,31.25,0.7773171453953212,4.278668793361581,1049.9999999999998,-614.0
2.0,10,-1.616,-1616.0,16,31.25,0.7773171453953212,4.278668793361581,1049.9999999999998,-614.0
2.0,16,-2.309,-2309.0,17,29.411764705882355,0.707961061474863,5.034102140068302,1061.7999999999997,-624.9166666666667
2.0,12,-2.309,-2309.0,17,29.411764705882355,0.707961061474863,5.034102140068302,1061.7999999999997,-624.9166666666667
2.0,14,-2.309,-2309.0,17,29.411764705882355,0.707961061474863,5.034102140068302,1061.7999999999997,-624.9166666666667
